Generation;Fitness;Average Fitness;Score;Runtime
0;4,418593;1,243485;1;3,418594
1;9,678882;1,872751;4;6,678882
2;8,316896;1,683734;3;5,316896
3;40,08486;2,965969;16;24,08486
4;30,57266;3,543005;12;18,57266
5;71,09619;4,799744;31;40,0962
6;78,78542;5,56475;35;43,78542
7;53,09042;3,093903;22;31,09041
8;53,12254;3,841498;22;31,12255
9;88,2609;5,296497;41;48,2609
10;40,41779;4,390954;16;24,41779
11;71,09187;7,317811;31;40,09187
12;57,08108;5,401145;24;33,08108
13;62,45407;13,16529;27;35,45407
14;57,16371;4,044648;24;33,16371
