Generation;Fitness;Average Fitness;Score;Runtime
0;11,0187;1,387894;4;7,02
1;5,611509;1,710577;2;3,61
2;4,576862;1,834922;1;3,58
3;7,151072;2,371036;2;5,15
4;31,31278;2,255932;12;19,31
5;50,7113;3,047499;21;29,71
6;38,0265;2,897027;15;23,03
7;65,15236;3,629043;29;37,15
8;70,97893;6,31591;31;39,98
9;74,85278;3,728146;34;41,85
10;86,29837;8,870552;39;47,30
11;78,76615;12,60417;35;43,77
12;113,8705;8,35429;55;59,87
13;110,3275;13,47656;52;58,33
14;84,42519;8,343155;38;46,43
15;32,77767;2,17918;13;19,78
16;88,126;6,267102;40;48,13
17;74,89546;8,18509;33;41,90
18;82,55109;8,855916;37;45,55
19;117,5153;10,95181;56;61,52
20;59,18026;13,60239;25;34,18
21;59,182;8,535353;25;34,18
22;82,58939;18,11761;37;45,59
23;72,88698;7,386853;32;40,89
24;82,55147;14,86748;37;45,55
25;84,41306;15,40155;38;46,41
26;44,60579;1,841825;18;26,61
27;62,26266;12,03481;27;35,26
28;61,22628;10,90836;26;35,23
29;90,12964;13,50428;41;49,13
30;74,79682;2,309652;33;41,80
31;59,15779;10,69556;25;34,16
32;78,72984;13,71132;35;43,73
33;90,12725;13,4709;41;49,13
34;86,44276;15,35473;39;47,44
35;84,50789;22,82026;38;46,51
36;73,08611;23,74562;32;41,09
37;78,70666;6,604985;35;43,71
38;80,70044;19,05585;37;44,70
39;57,14101;10,65909;24;33,14
40;97,52895;17,58218;46;52,53
41;86,34442;18,11595;39;47,34
42;90,08511;17,38844;42;49,09
43;128,2875;14,77351;62;66,29
44;80,70493;18,75601;36;44,70
45;106,6846;14,14641;50;56,68
46;104,8831;16,22775;49;55,88
47;90,02847;10,11126;41;49,03
48;63,21457;17,05675;27;36,21
49;67,21825;22,72945;29;38,22
50;92,02574;21,27797;42;50,03
51;77,84821;4,664364;35;42,85
52;75,02623;18,58935;34;42,03
53;80,67111;18,19016;36;44,67
54;101,1642;20,42479;47;54,16
55;106,7421;20,98878;50;56,74
56;99,38779;18,37837;46;53,39
57;78,95361;23,25047;36;43,95
58;76,91469;16,50135;34;42,91
59;88,17149;13,86118;40;48,17
60;103,1497;20,98864;49;55,15
61;80,81512;29,6917;37;44,82
62;95,64419;18,76329;44;51,64
63;80,855;29,21775;37;44,86
64;93,90488;21,50924;43;50,90
65;69,20582;16,72078;31;39,21
66;73,05821;16,02378;32;41,06
67;80,71223;17,27147;36;44,71
68;76,92972;21,45757;35;42,93
69;86,53564;33,70683;39;47,54
70;82,70882;23,42934;37;45,71
71;74,95282;16,18759;33;41,95
72;78,8297;24,80218;35;43,83
73;84,41676;20,10864;38;46,42
74;76,80116;16,31525;34;42,80
75;88,35081;24,23854;40;48,35
76;87,47935;22,02823;40;47,48
77;78,80185;19,09629;35;43,80
78;74,94149;19,49436;34;41,94
79;83,72667;26,06281;38;45,73
80;82,52409;20,6057;37;45,52
81;78,9239;27,33401;35;43,92
82;78,94795;24,10826;35;43,95
83;76,90459;20,4861;34;42,90
84;92,00597;26,7281;42;50,01
85;86,46111;27,72502;40;47,46
86;89,54884;23,47046;41;48,55
87;90,17796;24,06496;41;49,18
88;85,87346;30,43536;39;46,87
89;82,49782;11,61814;37;45,50
90;78,86996;26,87361;36;43,87
91;70,20453;26,00817;31;39,20
92;76,95559;26,76928;34;42,96
93;88,44463;31,96692;40;48,44
94;79,04334;35,80092;35;44,04
95;86,51155;21,48396;39;47,51
96;76,95035;20,22383;34;42,95
97;86,41586;32,13029;39;47,42
98;93,83399;29,43541;43;50,83
99;84,86819;37,20383;38;46,87
100;88,39241;27,84813;40;48,39
101;69,44829;34,99116;30;39,45
102;84,6958;28,88406;38;46,70
103;95,07803;25,24515;44;51,08
104;97,79317;32,89742;46;52,79
105;73,08649;23,76143;32;41,09
106;90,16008;22,1679;41;49,16
107;78,83095;25,47175;36;43,83
108;105,0343;26,69395;49;56,03
109;97,66641;32,02478;46;52,67
110;75,17142;32,87548;33;42,17
111;73,20717;30,51995;32;41,21
112;96,07071;37,87092;44;52,07
113;112,2234;20,22396;53;59,22
114;79,11583;34,59555;35;44,12
115;73,07658;25,91052;32;41,08
116;97,8334;37,18053;45;52,83
117;82,66402;21,48995;38;45,66
118;80,28591;36,5823;36;44,29
119;77,08507;31,15355;34;43,09
120;99,49392;29,9118;46;53,49
121;90,20578;33,48018;41;49,21
122;75,25748;36,15382;33;42,26
123;100,6831;30,45342;47;53,68
124;104,3459;30,2107;49;55,35
125;86,61716;39,86848;40;47,62
126;93,82573;14,43493;43;50,83
127;80,68405;19,07349;36;44,68
128;104,9625;27,30062;49;55,96
129;86,52973;32,01456;40;47,53
130;92,12582;27,21051;42;50,13
131;88,28014;24,28216;41;48,28
132;92,06584;23,31644;42;50,07
133;94,01319;34,72472;43;51,01
134;105,1438;45,98778;49;56,14
135;86,45181;35,54438;39;47,45
136;94,03352;34,60007;43;51,03
137;88,18819;14,91664;40;48,19
138;76,93021;27,00887;34;42,93
139;106,9914;41,16161;50;56,99
140;84,78984;34,05593;38;46,79
141;90,20181;20,37223;41;49,20
142;97,58263;26,02892;45;52,58
143;99,77343;33,87406;47;53,77
144;88,3072;26,55132;40;48,31
145;117,585;19,39631;56;61,59
146;88,49538;41,83128;40;48,50
147;78,96958;38,4534;35;43,97
148;92,03699;22,94478;42;50,04
