Generation;Highest Fitness;Average Fitness;Runtime
0;5,361923;-0,2575498;7,659815
1;6,643482;1,183665;7,620835
2;12,53524;1,859351;6,030847
3;12,5475;2,617332;4,675856
4;11,18614;2,901788;13,78046
5;19,21613;3,504235;13,9197
6;13,86553;3,041586;13,75679
7;20,41444;3,910635;11,87753
8;20,89985;4,257448;7,937041
9;20,26697;4,025002;5,987034
10;21,2853;3,463372;10,19555
11;20,11604;3,151558;10,35142
12;20,18739;3,381244;7,292942
13;19,70683;4,581043;7,365623
14;20,23466;5,377849;8,723544
15;20,45853;6,54128;8,4475
16;20,94285;6,281119;16,51837
17;21,24763;6,860466;8,61887
18;20,11939;4,050017;7,814929
19;20,12681;4,56028;10,76581
20;19,98925;3,787425;11,94166
21;20,301;4,077163;16,58827
22;19,9938;5,209692;12,45892
23;19,75863;4,821745;13,16419
24;20,01758;5,612719;10,05544
25;19,69537;5,0689;8,545386
26;19,84618;5,380768;11,04262
27;19,64489;7,096538;9,927163
28;19,95427;5,837312;9,836406
29;20,41307;6,751199;10,42161
30;20,99791;5,944408;17,41679
31;20,69866;6,331395;8,06384
32;21,15891;9,153389;14,61326
